username,repo_name,repo_desc,stars,forks,programming language,repo_url
pixijs,pixijs,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",34329,4384,TypeScript,https://www.github.com/pixijs/pixijs
photonstorm,phaser,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.",30483,6550,JavaScript,https://www.github.com/photonstorm/phaser
melonjs,melonJS,a fresh & lightweight javascript game engine,3549,542,JavaScript,https://www.github.com/melonjs/melonJS
gamelab,kiwi.js,Kiwi.js is a blazingly fast mobile & desktop browser based HTML5 game framework. It uses CocoonJS for publishing to the AppStore.,1232,217,JavaScript,https://www.github.com/gamelab/kiwi.js
craftyjs,Crafty,JavaScript Game Engine,3042,554,JavaScript,https://www.github.com/craftyjs/Crafty
liabru,matter-js,a 2D rigid body physics engine for the web ▲● ■,12104,1589,JavaScript,https://www.github.com/liabru/matter-js
shakiba,stage.js,2D HTML5 rendering and layout engine for game development,2121,237,JavaScript,https://www.github.com/shakiba/stage.js
cocos2d,cocos2d-html5,Cocos2d for Web Browsers. Built using JavaScript.,2798,918,JavaScript,https://www.github.com/cocos2d/cocos2d-html5
playcanvas,engine,Fast and lightweight JavaScript game engine built on WebGL and glTF,6681,1061,JavaScript,https://www.github.com/playcanvas/engine
cookiengineer,lycheejs,"🌱 Next-Gen AI-Assisted Isomorphic Application Engine for Embedded, Console, Mobile, Server and Desktop",756,115,Java,https://www.github.com/cookiengineer/lycheejs
BabylonJS,Babylon.js,"Babylon.js is a powerful, beautiful, simple, and open game and rendering engine packed into a friendly JavaScript framework.",14957,2569,TypeScript,https://www.github.com/BabylonJS/Babylon.js
ekelokorpi,panda-engine,Panda Engine - HTML5 Game Engine,682,110,JavaScript,https://www.github.com/ekelokorpi/panda-engine
qiciengine,qiciengine,A free JavaScript game engine library with a web-based comprehensive suite of toolset for making HTML5 games. http://www.qiciengine.com,778,132,Not Provided,https://www.github.com/qiciengine/qiciengine
WhitestormJS,whs.js,🚀 🌪 Super-fast 3D framework for Web Applications 🥇 & Games 🎮. Based on Three.js,5657,393,JavaScript,https://www.github.com/WhitestormJS/whs.js
GooTechnologies,goojs,3D WebGL engine.,1154,141,JavaScript,https://www.github.com/GooTechnologies/goojs
shakiba,planck.js,2D JavaScript Physics Engine,4091,246,TypeScript,https://www.github.com/shakiba/planck.js
Irrelon,ige,The Isogenic Game Engine,431,131,JavaScript,https://www.github.com/Irrelon/ige
4ian,GDevelop,"🎮 GDevelop is an open-source, cross-platform game engine designed to be used by everyone.",3038,483,C++,https://www.github.com/4ian/GDevelop
mrdoob,three.js,JavaScript 3D Library.,74644,29222,JavaScript,https://www.github.com/mrdoob/three.js
phoboslab,Impact,HTML5 Game Engine,1669,183,JavaScript,https://www.github.com/phoboslab/Impact
