username,repo_name,repo_desc,stars,forks,programming language,repo_url
30-seconds,30-seconds-of-code,Short JavaScript code snippets for all your development needs,86376,9129,JavaScript,https://www.github.com/30-seconds/30-seconds-of-code
railsgirls,railsgirls.github.io,Rails Girls Guides,3840,680,HTML,https://www.github.com/railsgirls/railsgirls.github.io
railsbridge,docs,Curriculum for RailsBridge workshops,1978,432,Ruby,https://www.github.com/railsbridge/docs
freeCodeCamp,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,332786,26837,JavaScript,https://www.github.com/freeCodeCamp/freeCodeCamp
leachim6,hello-world,"Hello world in every computer language. Thanks to everyone who contributes to this, make sure to see CONTRIBUTING.md for contribution instructions!",7311,1493,Assembly,https://www.github.com/leachim6/hello-world
datasciencemasters,go,The Open Source Data Science Masters,19398,5855,Not Provided,https://www.github.com/datasciencemasters/go
practical-tutorials,project-based-learning,Curated list of project-based tutorials,56388,8724,Not Provided,https://www.github.com/practical-tutorials/project-based-learning
zhiwehu,Python-programming-exercises,100+ Python challenging programming exercises,17165,5942,Not Provided,https://www.github.com/zhiwehu/Python-programming-exercises
MunGell,awesome-for-beginners,A list of awesome beginners-friendly projects.,35205,5136,Not Provided,https://www.github.com/MunGell/awesome-for-beginners
appacademy,welcome-to-open,Overview of App Academy Open,2568,79,Not Provided,https://www.github.com/appacademy/welcome-to-open
lostdesign,webgems,A curated list of resources for devs and designers. Join me on devcord.com if you are up for a chit chat :),2889,163,Vue,https://www.github.com/lostdesign/webgems
kamranahmedse,developer-roadmap,Roadmap to becoming a web developer in 2021,172964,24852,Not Provided,https://www.github.com/kamranahmedse/developer-roadmap
AMAI-GmbH,AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2021,14843,1278,JavaScript,https://www.github.com/AMAI-GmbH/AI-Expert-Roadmap
trekhleb,javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,120863,19861,JavaScript,https://www.github.com/trekhleb/javascript-algorithms
microsoft,Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",35348,4892,JavaScript,https://www.github.com/microsoft/Web-Dev-For-Beginners
karan,Projects,📃 A list of practical projects that anyone can solve in any programming language.,36657,10100,Not Provided,https://www.github.com/karan/Projects
sindresorhus,awesome,😎 Awesome lists about all kinds of interesting topics,170458,21720,Not Provided,https://www.github.com/sindresorhus/awesome
donnemartin,system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,145632,26872,Python,https://www.github.com/donnemartin/system-design-primer
danistefanovic,build-your-own-x,🤓 Build your own (insert technology here),118632,10700,Not Provided,https://www.github.com/danistefanovic/build-your-own-x
public-apis,public-apis,A collective list of free APIs,160707,18188,Python,https://www.github.com/public-apis/public-apis
