username,repo_name,repo_desc,stars,forks,programming language,repo_url
adobe,adobe.github.com,Adobe central hub for open source,982,321,CSS,https://www.github.com/adobe/adobe.github.com
RedHatOfficial,RedHatOfficial.github.io,The official Red Hat project page.,306,175,SCSS,https://www.github.com/RedHatOfficial/RedHatOfficial.github.io
cfpb,cfpb.github.io,A site for the CFPB to share and discuss its technology work with the world.,232,104,HTML,https://www.github.com/cfpb/cfpb.github.io
Netflix,netflix.github.com,Not Provided,1079,402,HTML,https://www.github.com/Netflix/netflix.github.com
Esri,esri.github.io,Esri GitHub landing page,403,113,JavaScript,https://www.github.com/Esri/esri.github.io
square,square.github.io,"A simple, static portal which outlines our open source offerings.",858,232,CSS,https://www.github.com/square/square.github.io
twitter,opensource-website,A listing of open source efforts at Twitter on GitHub,1696,558,SCSS,https://www.github.com/twitter/opensource-website
gilt,code.gilt.com,open source projects page,244,72,CSS,https://www.github.com/gilt/code.gilt.com
guardian,guardian.github.com,Guardian github pages,232,55,HTML,https://www.github.com/guardian/guardian.github.com
Yelp,yelp.github.io,A showcase of projects we've open sourced and open source projects we use,549,105,JavaScript,https://www.github.com/Yelp/yelp.github.io
Shopify,shopify.github.com,A collection of the open source projects by Shopify,390,119,CSS,https://www.github.com/Shopify/shopify.github.com
IBM,ibm.github.io,IBM Open Source at GitHub,968,247,JavaScript,https://www.github.com/IBM/ibm.github.io
microsoft,microsoft.github.io,Microsoft on GitHub,2051,502,HTML,https://www.github.com/microsoft/microsoft.github.io
artsy,artsy.github.io,The Artsy Engineering Open-Source Developers Blog,825,219,SCSS,https://www.github.com/artsy/artsy.github.io
OSGeo,osgeo,The Open Source Geospatial Foundation is not-for-profit organization to empower everyone with open source geospatial. Directly supports projects as an outreach and advocacy organization providing f…,171,60,CSS,https://www.github.com/OSGeo/osgeo
godaddy,godaddy.github.io,Deprecated version of GoDaddy blog. See https://github.com/godaddy/engineering.,61,7,HTML,https://www.github.com/godaddy/godaddy.github.io
cloudflare,cloudflare.github.io,Cloudflare ❤️ Open Source,163,23,CSS,https://www.github.com/cloudflare/cloudflare.github.io
eleme,eleme.github.io,Eleme Developers Homepage,60,15,CSS,https://www.github.com/eleme/eleme.github.io
didi,didi.github.io,didi website,85,24,HTML,https://www.github.com/didi/didi.github.io
alibaba,alibaba.github.com,The alibaba github homepage.,208,60,CSS,https://www.github.com/alibaba/alibaba.github.com
