Title,Description,URL
How to choose (and contribute to) your first open source project,New to open source? Here’s how to find projects that need help and start making impactful contributions.,https://github.com/collections/choosing-projects
Clean code linters,Make sure your code matches your style guide with these essential code linters.,https://github.com/collections/clean-code-linters
Open journalism,See how publications and data-driven journalists use open source to power their newsroom and ensure information is reported fairly and accurately.,https://github.com/collections/open-journalism
Design essentials,"This collection of design libraries are the best on the web, and will complete your toolset for designing stunning products.",https://github.com/collections/design-essentials
Music,Drop the code bass with these musically themed repositories.,https://github.com/collections/music
Government apps,"Sites, apps, and tools built by governments across the world to make government work better, together. Read more at https://government.github.com",https://github.com/collections/government
DevOps tools,These tools help you manage servers and deploy happier and more often with more confidence.,https://github.com/collections/devops-tools
Front-end JavaScript frameworks,"While the number of ways to organize JavaScript is almost infinite, here are some tools that help you build single-page applications.",https://github.com/collections/front-end-javascript-frameworks
GitHub Browser Extensions,Some useful and fun browser extensions to personalize your GitHub browser experience.,https://github.com/collections/github-browser-extensions
GitHub Pages examples,Fine examples of projects using GitHub Pages (https://pages.github.com).,https://github.com/collections/github-pages-examples
Hacking Minecraft,"Minecraft is a game about building blocks, but it doesn’t end there. Take Minecraft further with some of the projects below, or dive into the code mines and hammer your own!",https://github.com/collections/hacking-minecraft
JavaScript Game Engines,"Learn or level up your 1337 gamedev skills and build amazing games together for web, desktop, or mobile using these HTML5 / JavaScript game engines.",https://github.com/collections/javascript-game-engines
Learn to Code,Resources to help people learn to code,https://github.com/collections/learn-to-code
Getting started with machine learning,"Today, machine learning—the study of algorithms that make data-based predictions—has found a new audience and a new set of possibilities.",https://github.com/collections/machine-learning
Made in Africa,Developers in Africa use open source technology to solve some of the world's most intractable problems and grow their business ecosystems. Here's a snapshot of local projects across the continent.,https://github.com/collections/made-in-africa
Net neutrality,"Software, research, and organizations protecting the free and open internet.",https://github.com/collections/net-neutrality
Open data,"Examples of using GitHub to store, publish, and collaborate on open, machine-readable datasets",https://github.com/collections/open-data
Open source organizations,A showcase of organizations showcasing their open source projects.,https://github.com/collections/open-source-organizations
Policies,"From federal governments to corporations to student clubs, groups of all sizes are using GitHub to share, discuss, and improve laws. *Ask not what the repository can do for you...*",https://github.com/collections/policies
Software productivity tools,"Build software faster with fewer headaches, using these tools and tricks",https://github.com/collections/productivity-tools
